,wahlbezirk,wahlkreis,bezirk,bezirkname,ost_west,waehler_be,waehler,ungueltig,gueltig,cdu_p,spd_p,linke_p,gruene_p,afd_p,piraten_p,fdp_p
66,1313,103,1,Mitte,W,834,413,2,411,0.1922141119221411,0.1849148418491484,0.19464720194647206,0.2116788321167883,0.0705596107055961,0.0097323600973236,0.1021897810218978
67,1314,103,1,Mitte,W,1102,563,13,550,0.2363636363636364,0.2,0.15454545454545454,0.13090909090909092,0.09454545454545454,0.005454545454545455,0.11090909090909093
68,1315,103,1,Mitte,W,838,389,10,379,0.1820580474934037,0.1741424802110818,0.20844327176781,0.2031662269129288,0.07387862796833773,0.0079155672823219,0.07651715039577836
69,1316,103,1,Mitte,W,1217,642,18,624,0.21794871794871795,0.2676282051282051,0.16346153846153846,0.08814102564102565,0.11378205128205128,0.008012820512820512,0.07692307692307693
70,1317,103,1,Mitte,W,754,387,4,383,0.22193211488250653,0.195822454308094,0.2193211488250653,0.14882506527415146,0.0835509138381201,0.013054830287206266,0.06527415143603134
71,1318,103,1,Mitte,W,1125,548,9,539,0.24489795918367346,0.20408163265306126,0.1614100185528757,0.14842300556586271,0.07421150278293136,0.0037105751391465678,0.11317254174397033
72,1319,103,1,Mitte,W,1007,476,2,474,0.1962025316455696,0.19831223628691985,0.15611814345991562,0.20675105485232068,0.0759493670886076,0.0,0.12025316455696206
73,1320,103,1,Mitte,W,599,322,3,319,0.20376175548589345,0.20376175548589345,0.12539184952978055,0.22884012539184956,0.0877742946708464,0.003134796238244514,0.13479623824451412
74,1321,103,1,Mitte,W,1020,477,6,471,0.24628450106157115,0.22929936305732485,0.12101910828025478,0.15498938428874734,0.08492569002123143,0.004246284501061571,0.1316348195329087
75,1322,103,1,Mitte,W,1133,488,4,484,0.237603305785124,0.2231404958677686,0.15495867768595042,0.1115702479338843,0.1012396694214876,0.002066115702479339,0.11776859504132232
76,1323,103,1,Mitte,W,1181,612,5,607,0.257001647446458,0.19110378912685336,0.1416803953871499,0.13179571663920922,0.10543657331136737,0.0032948929159802307,0.12355848434925865
77,1324,103,1,Mitte,W,1603,634,7,627,0.2551834130781499,0.18022328548644334,0.16905901116427433,0.13237639553429026,0.07974481658692185,0.007974481658692184,0.14832535885167464
78,1325,103,1,Mitte,W,1001,403,8,395,0.18734177215189876,0.2253164556962025,0.2126582278481013,0.1569620253164557,0.08354430379746837,0.007594936708860759,0.09113924050632913
79,1326,103,1,Mitte,W,1194,595,5,590,0.19322033898305085,0.1864406779661017,0.2254237288135593,0.1711864406779661,0.06610169491525424,0.005084745762711864,0.1016949152542373
80,1327,103,1,Mitte,W,1494,703,1,702,0.17663817663817666,0.16524216524216526,0.21082621082621086,0.2435897435897436,0.041310541310541314,0.0071225071225071235,0.0811965811965812
81,1400,104,1,Mitte,W,1365,640,10,630,0.16984126984126985,0.17142857142857146,0.21746031746031744,0.14761904761904762,0.08571428571428573,0.015873015873015872,0.08571428571428573
82,1401,104,1,Mitte,W,940,468,7,461,0.09978308026030368,0.1475054229934924,0.22559652928416485,0.2386117136659436,0.10845986984815617,0.0021691973969631237,0.06290672451193059
83,1402,104,1,Mitte,W,1317,630,16,614,0.12052117263843648,0.16123778501628666,0.247557003257329,0.16286644951140064,0.10749185667752444,0.016286644951140062,0.07980456026058631
84,1403,104,1,Mitte,W,1019,509,10,499,0.15030060120240482,0.19839679358717435,0.23246492985971945,0.20641282565130264,0.06012024048096193,0.008016032064128256,0.05811623246492986
85,1404,104,1,Mitte,W,709,354,8,346,0.14739884393063585,0.18208092485549127,0.2861271676300578,0.1676300578034682,0.06358381502890173,0.011560693641618495,0.06936416184971098
86,1405,104,1,Mitte,W,797,407,10,397,0.14609571788413098,0.21914357682619648,0.20654911838790926,0.16120906801007556,0.09319899244332494,0.012594458438287154,0.06297229219143577
87,1406,104,1,Mitte,W,854,453,7,446,0.1210762331838565,0.2062780269058296,0.19730941704035876,0.2152466367713005,0.07623318385650224,0.011210762331838564,0.06502242152466367
88,1407,104,1,Mitte,W,1204,647,12,635,0.17480314960629922,0.1889763779527559,0.1921259842519685,0.1937007874015748,0.09291338582677164,0.0015748031496062992,0.08976377952755905
89,1408,104,1,Mitte,W,1004,555,9,546,0.1684981684981685,0.17582417582417584,0.25457875457875456,0.21062271062271065,0.056776556776556776,0.01098901098901099,0.0641025641025641
90,1409,104,1,Mitte,W,965,496,6,490,0.12448979591836735,0.18571428571428567,0.23673469387755106,0.21428571428571427,0.06938775510204083,0.014285714285714284,0.07346938775510205
91,1410,104,1,Mitte,W,1286,694,9,685,0.17664233576642335,0.1708029197080292,0.20875912408759126,0.24379562043795625,0.0583941605839416,0.00291970802919708,0.07007299270072992
92,1411,104,1,Mitte,W,1090,529,11,518,0.15637065637065636,0.21428571428571427,0.2277992277992278,0.16795366795366795,0.07142857142857142,0.01158301158301158,0.07915057915057915
93,1412,104,1,Mitte,W,905,460,6,454,0.15859030837004404,0.16740088105726872,0.2731277533039648,0.18722466960352424,0.07709251101321586,0.006607929515418502,0.07488986784140969
94,1413,104,1,Mitte,W,873,447,12,435,0.16781609195402303,0.19770114942528733,0.21379310344827587,0.16781609195402303,0.0942528735632184,0.016091954022988506,0.05517241379310345
95,1414,104,1,Mitte,W,851,423,4,419,0.13365155131264914,0.15513126491646778,0.21241050119331745,0.23389021479713604,0.06205250596658711,0.00954653937947494,0.06921241050119331
96,1415,104,1,Mitte,W,875,473,6,467,0.14775160599571735,0.20770877944325486,0.22483940042826556,0.2012847965738758,0.06638115631691649,0.006423982869379015,0.06638115631691649
